drift_target,drift_z,mlp_excess_harm,mlp_pred_std,mlp_test_r2,ridge_pred_std,ridge_test_r2,seed,trial,weighted_drift_score,y_test_std
dominant,10.0,2.0797397345253312,8.003177462565088,-1.0897355168761567,9.67058522442278,0.9900042176491746,1,1,9.789891592985791,9.73241440894585
dominant,10.0,1.0496510649861812,8.884661892995918,-0.06112610479846747,10.336623745539763,0.9885249601877137,1,2,9.882535953967514,10.23842502196472
dominant,15.0,3.627234221765584,8.573977241875104,-2.6382440553345035,10.038282973962133,0.9889901664310808,1,0,14.446014858958009,10.087443393542605
dominant,15.0,5.665124860797597,8.016787609930315,-4.675382538543869,9.670585224422775,0.9897423222537283,1,1,14.683553098128753,9.732414408945852
dominant,15.0,2.859498811857833,8.874831565768284,-1.8727489650586695,10.336623745539764,0.9867498467991636,1,2,14.826014804984338,10.238425021964717
dominant,20.0,7.152493156627137,8.574005545872367,-6.164255501221738,10.038282973962128,0.988237655405399,1,0,19.248623333081742,10.087443393542605
dominant,20.0,11.021605982929456,8.016591631952302,-10.032215354897037,9.67058522442278,0.9893906280324186,1,1,19.57721460327172,9.73241440894585
dominant,20.0,5.577280178137782,8.87077643479513,-4.592875228872132,10.336623745539761,0.98440494926565,1,2,19.76949365600116,10.238425021964717
noise,0.0,0.0008874427516200045,9.985970440615036,0.9891913112334256,10.038282973962128,0.9900787539850456,1,0,0.038189436586756435,10.087443393542605
noise,0.0,0.001990481241815889,9.659355551929012,0.988268130720661,9.67058522442278,0.9902586119624769,1,1,0.0025685826998590945,9.73241440894585
noise,0.0,0.0025647035928189066,10.226368774915843,0.9878011309371058,10.336623745539763,0.9903658345299247,1,2,0.006286101596964122,10.238425021964717
noise,1.0,0.0008597337626267132,9.943484572233718,0.9892317920613011,10.038282973962128,0.9900915258239278,1,0,0.04643129655141412,10.087443393542605
noise,1.0,0.001784207967999607,9.663881807853961,0.9884746007032509,9.67058522442278,0.9902588086712505,1,1,0.011517278399531093,9.73241440894585
noise,1.0,0.002628448499036651,10.158087603075861,0.9877372808028282,10.336623745539763,0.9903657293018648,1,2,0.016257904002189072,10.238425021964717
noise,2.0,0.0009610872120078273,9.876827033193623,0.98912000964423,10.038282973962128,0.9900810968562378,1,0,0.056079296278111986,10.087443393542603
noise,2.0,0.0017079516228125646,9.59693677794356,0.9885510512409758,9.67058522442278,0.9902590028637883,1,1,0.021175117146026913,9.73241440894585
noise,2.0,0.003385941072090004,9.973834067127715,0.9869796829504281,10.336623745539763,0.9903656240225182,1,2,0.026229706407414,10.238425021964717
noise,3.0,0.0016045954250080152,9.788454432150692,0.9884428716569676,10.038282973962128,0.9900474670819757,1,0,0.06572729600480987,10.087443393542605
noise,3.0,0.0026381318666064413,9.47762053085377,0.9876210626734838,9.67058522442278,0.9902591945400903,1,1,0.03083295589252274,9.73241440894585
noise,3.0,0.005787668506853416,9.763620568382679,0.9845778501850311,10.336623745539763,0.9903655186918845,1,2,0.03620150881263892,10.238425021964717
