activation,alpha,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
tanh,0.1,dominant,10.0,"(100,)",42.95926498295848,-41.96934343975659,1,0.9899215432018855,3
tanh,0.1,dominant,10.0,"(100,)",43.31415562657345,-42.32268955909066,1,0.9914660674827906,4
tanh,0.1,dominant,10.0,"(100,)",53.20038364703222,-52.21251102604205,1,0.9878726209901674,5
tanh,0.1,dominant,10.0,"(100,)",55.54188204225644,-54.554293713203236,1,0.9875883290532044,6
tanh,0.1,dominant,10.0,"(100,)",43.208706327641956,-42.218976000396054,1,0.9897303272459037,7
tanh,0.1,dominant,10.0,"(100,)",45.24745599058483,-44.25857078797628,1,0.988885202608547,8
tanh,0.1,dominant,10.0,"(100,)",42.05767653308881,-41.067128969581184,1,0.9905475635076288,9
tanh,0.1,dominant,10.0,"(100,)",49.808251854228715,-48.81761523018008,1,0.9906366240486311,10
tanh,0.1,dominant,10.0,"(100,)",46.93883885420276,-45.94950917683182,1,0.9893296773709398,11
tanh,0.1,dominant,10.0,"(100,)",48.3389142015309,-47.34817460366753,1,0.9907395978633681,12
tanh,0.1,dominant,10.0,"(100,)",43.227859603342786,-42.238147312459134,1,0.9897122908836531,13
tanh,0.1,dominant,10.0,"(100,)",49.52402799393838,-48.53656715077243,1,0.9874608431659564,14
tanh,0.1,dominant,10.0,"(100,)",46.12132198400533,-45.131442445459065,1,0.9898795385462611,15
tanh,0.1,dominant,10.0,"(100,)",45.67029882424935,-44.67982390464301,1,0.9904749196063387,16
tanh,0.1,dominant,10.0,"(100,)",41.72865701103101,-40.73964164035481,1,0.9890153706762005,17
tanh,0.1,dominant,10.0,"(100,)",43.362978969046786,-42.37519288179228,1,0.987786087254507,18
tanh,0.1,dominant,10.0,"(100,)",49.127528249555496,-48.14128079609927,1,0.9862474534562268,19
identity,0.1,dominant,10.0,"(100,)",0.004851633592275473,0.9834064627132834,1,0.9882580963055588,0
identity,0.1,dominant,10.0,"(100,)",-0.0001881267324489455,0.9911588971913565,1,0.9909707704589076,1
identity,0.1,dominant,10.0,"(100,)",-0.0003186354096856858,0.9896895654008272,1,0.9893709299911415,2
identity,0.1,dominant,10.0,"(100,)",0.0003364977034597816,0.987657482154366,1,0.9879939798578258,3
identity,0.1,dominant,10.0,"(100,)",4.33007410728381e-05,0.9887731304727032,1,0.988816431213776,4
identity,0.1,dominant,10.0,"(100,)",-6.010592930427716e-05,0.989067391123553,1,0.9890072851942487,5
identity,0.1,dominant,10.0,"(100,)",-0.0007127874447023785,0.9896606184828118,1,0.9889478310381095,6
identity,0.1,dominant,10.0,"(100,)",6.566642249361543e-05,0.9900509940613158,1,0.9901166604838094,7
identity,0.1,dominant,10.0,"(100,)",0.0006282422567128743,0.9889144943594363,1,0.9895427366161492,8
identity,0.1,dominant,10.0,"(100,)",1.829919608675734e-05,0.9898122343000818,1,0.9898305334961686,9
identity,0.1,dominant,10.0,"(100,)",-0.0001563732925387029,0.9895698198342211,1,0.9894134465416824,10
identity,0.1,dominant,10.0,"(100,)",0.0009096256310374695,0.9885272679694436,1,0.989436893600481,11
identity,0.1,dominant,10.0,"(100,)",0.012287837432514381,0.9749712298104218,1,0.9872590672429362,12
identity,0.1,dominant,10.0,"(100,)",0.005249652027551899,0.9817381130459891,1,0.986987765073541,13
identity,0.1,dominant,10.0,"(100,)",-0.0005345615122405167,0.990618550584966,1,0.9900839890727254,14
identity,0.1,dominant,10.0,"(100,)",-0.0002636770029016411,0.9884015700190675,1,0.9881378930161658,15
identity,0.1,dominant,10.0,"(100,)",-9.350874244717922e-05,0.9899409195657748,1,0.9898474108233276,16
identity,0.1,dominant,10.0,"(100,)",6.0195855834721534e-05,0.990290982454664,1,0.9903511783104987,17
identity,0.1,dominant,10.0,"(100,)",0.005841459447205488,0.9845630670109927,1,0.9904045264581982,18
identity,0.1,dominant,10.0,"(100,)",0.00037480161874337004,0.9881017861111212,1,0.9884765877298646,19
relu,0.1,dominant,10.0,"(32, 16)",3.2925881530801653,-2.30355877606788,1,0.9890293770122854,0
relu,0.1,dominant,10.0,"(32, 16)",4.1674207890077115,-3.17915094549143,1,0.9882698435162813,1
relu,0.1,dominant,10.0,"(32, 16)",5.10571437801867,-4.114821590854999,1,0.9908927871636711,2
relu,0.1,dominant,10.0,"(32, 16)",2.759238119376091,-1.768265448391789,1,0.9909726709843019,3
relu,0.1,dominant,10.0,"(32, 16)",0.9234027817303194,0.06516416543008974,1,0.9885669471604092,4
relu,0.1,dominant,10.0,"(32, 16)",2.8556013726386675,-1.8658157621382165,1,0.989785610500451,5
relu,0.1,dominant,10.0,"(32, 16)",2.0943604485826604,-1.1061451817257613,1,0.9882152668568992,6
relu,0.1,dominant,10.0,"(32, 16)",3.37086286289157,-2.380552419792909,1,0.990310443098661,7
