dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
linear_binary,1.0,0.6663488050456863,0.005066882822783225,0.6714156878684695,287,1002,1,2,0.7528159527100443
linear_binary,2.0,0.6253406712941039,0.005031234893580927,0.6303719061876848,331,979,1,0,1.5039847290841841
linear_binary,2.0,0.6217579417600823,0.003314332730404379,0.6250722744904866,342,1018,1,1,1.437138942047679
linear_binary,2.0,0.6318751910945074,0.006739702114583412,0.6386148932090908,330,1002,1,2,1.4681632665334627
linear_binary,3.0,0.5743434124266615,0.004932645171518368,0.5792760575981799,362,979,1,0,2.221165585383543
linear_binary,3.0,0.5834590552994648,0.003344514335590909,0.5868035696350558,365,1018,1,1,2.147273705728843
linear_binary,3.0,0.582170042523476,0.008707253269186754,0.5908772957926628,363,1002,1,2,2.183510580356879
linear_binary,5.0,0.44288939782681586,0.0020290808212669043,0.44491847864808276,415,979,1,0,3.6555272979822613
linear_binary,5.0,0.41550977177645254,0.012614813888035814,0.42812458566448836,426,1018,1,1,3.567543233091173
linear_binary,5.0,0.4723497984205002,0.01261900818786954,0.4849688066083697,409,1002,1,2,3.614205208003711
linear_binary,7.0,0.2776408762504689,0.00029078043140312593,0.27793165668187203,459,979,1,0,5.089889010580979
linear_binary,7.0,0.2625804782887012,0.01308708201857689,0.27566756030727807,463,1018,1,1,4.987812760453502
linear_binary,7.0,0.3515925212908039,0.016031507099527498,0.3676240283903314,444,1002,1,2,5.044899835650543
linear_binary,10.0,0.14053659809163196,0.00033374294590002296,0.140870341037532,484,979,1,0,7.241431579479049
linear_binary,10.0,0.15039608241578506,0.006373713720961044,0.1567697961367461,482,1018,1,1,7.118217051496996
linear_binary,10.0,0.16493648139977388,0.025847637792064393,0.19078411919183827,481,1002,1,2,7.190941777120794
linear_binary,15.0,0.025613157041081743,0.0026159521110646934,0.028229109152146437,498,979,1,0,10.82733586097585
linear_binary,15.0,0.056207879643985305,0.0005913604376098711,0.056799240081595176,495,1018,1,1,10.66889086990282
linear_binary,15.0,0.039803237334771153,0.017058011167299103,0.05686124850207026,497,1002,1,2,10.767678346237883
linear_binary,20.0,0.014729835587449145,-0.0001524086604264164,0.014577426927022729,499,979,1,0,14.413240142472677
linear_binary,20.0,0.014060269059234094,0.0007311837659627323,0.014791452825196826,499,1018,1,1,14.219564688308662
linear_binary,20.0,0.014597226407222616,0.006181189572557784,0.0207784159797804,499,1002,1,2,14.344414915354958
interaction_binary,0.0,0.684112568269091,-0.0530510819297102,0.6310614863393808,229,999,1,0,0.04114518038634299
interaction_binary,0.0,0.686072568098324,-0.06243180199370024,0.6236407661046237,239,969,1,1,0.05998067011717986
interaction_binary,0.0,0.6797693273499376,-0.08345238207423389,0.5963169452757037,236,963,1,2,0.028332162353637145
interaction_binary,1.0,0.6779766967340284,-0.09255242380985762,0.5854242729241708,251,999,1,0,0.7687692799112877
interaction_binary,1.0,0.672707945288003,-0.08000568763688953,0.5927022576511135,285,969,1,1,0.680329501871573
interaction_binary,1.0,0.6797093764765612,-0.10858606986804742,0.5711233066085137,272,963,1,2,0.7169716570176943
interaction_binary,2.0,0.6699466746457464,-0.14567118689569558,0.5242754877500508,266,999,1,0,1.4963933794362334
interaction_binary,2.0,0.6585203554319085,-0.14704350308464975,0.5114768523472587,301,969,1,1,1.3949524191718963
interaction_binary,2.0,0.6686463270147942,-0.16256702409375012,0.5060793029210441,294,963,1,2,1.4056111516817504
interaction_binary,3.0,0.6628336628079469,-0.20196373128868533,0.46086993151926153,285,999,1,0,2.224017478961179
interaction_binary,3.0,0.6433876785044852,-0.21021649786378488,0.4331711806407003,320,969,1,1,2.1095753364722203
interaction_binary,3.0,0.6737020391069295,-0.24278911172675832,0.4309129273801712,303,963,1,2,2.094250646345807
