activation,alpha,dgp,drift_target,drift_z,hidden,logreg_acc,logreg_auc,logreg_logloss,mlp_acc,mlp_auc,mlp_excess_acc,mlp_excess_auc,mlp_excess_logloss,mlp_logloss,n_classes,phase,seed
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.824,0.9170273238162909,0.36328154901055176,0.82,0.9078224920870744,0.0040000000000000036,0.00920483172921649,0.041107188337031086,0.40438873734758285,2,2,7
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.964,0.9266456582633052,0.11254155520269729,0.962,0.9237570028011204,0.0020000000000000018,0.0028886554621848637,0.028061934577698344,0.14060348978039564,2,2,0
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.952,0.9050354609929079,0.1407621226932185,0.95,0.9053191489361703,0.0020000000000000018,-0.00028368794326238955,0.05589751900520443,0.19665964169842293,2,2,1
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.96,0.9049999999999999,0.10919121178456713,0.966,0.9194791666666666,-0.006000000000000005,-0.01447916666666671,0.19728820598216867,0.3064794177667358,2,2,2
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.954,0.8891806722689076,0.1374218539533984,0.952,0.8849789915966387,0.0020000000000000018,0.004201680672268893,0.0008292225226115835,0.13825107647600998,2,2,3
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.968,0.8960350391885662,0.10125854542989819,0.968,0.8962655601659751,0.0,-0.0002305209774089434,0.0010551878574549395,0.10231373328735313,2,2,4
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.972,0.8379003775423213,0.11463912335354973,0.968,0.8326635001826818,0.0040000000000000036,0.0052368773596395135,0.06797393106723293,0.18261305442078266,2,2,5
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.96,0.8775177304964539,0.15667083671584575,0.962,0.8770212765957447,-0.0020000000000000018,0.0004964539007091817,-0.003487180247702948,0.1531836564681428,2,2,6
identity,0.0001,interaction_binary,dominant,2.0,"(8,)",0.952,0.9291309759133173,0.12830051106144452,0.956,0.9075334943992973,-0.0040000000000000036,0.021597481514019967,0.021535496247421904,0.14983600730886643,2,2,7
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.998,0.5511022044088176,0.027817537537495902,0.998,0.5571142284569138,0.0,-0.006012024048096198,-0.011542778850511724,0.016274758686984178,2,2,0
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.998,0.9759519038076152,0.0160552274549081,0.998,0.9639278557114228,0.0,0.012024048096192397,-0.0012319129068983116,0.014823314548009787,2,2,1
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.996,0.7419678714859438,0.04721643237987727,0.996,0.7961847389558233,0.0,-0.054216867469879526,0.024206949952414333,0.0714233823322916,2,2,2
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",1.0,nan,1.3843427721441672e-05,1.0,nan,0.0,nan,0.0005221406306684717,0.0005359840583899133,2,2,3
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.998,0.42084168336673344,0.029318854230131,0.998,0.4228456913827655,0.0,-0.002004008016032066,-0.004249500830757182,0.025069353399373818,2,2,4
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.998,0.1963927855711423,0.03521704283736132,0.998,0.17234468937875752,0.0,0.024048096192384766,-0.015167078622317594,0.02004996421504373,2,2,5
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.996,0.2640562248995984,0.06734384251155728,0.996,0.26305220883534136,0.0,0.0010040160642570406,-0.01953641934429725,0.047807423167260034,2,2,6
identity,0.0001,interaction_binary,dominant,5.0,"(8,)",0.998,0.5130260521042084,0.02905828588355287,0.998,0.32665330661322645,0.0,0.18637274549098193,-0.009795001590353052,0.019263284293199817,2,2,7
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",1.0,nan,5.054461312546576e-09,1.0,nan,0.0,nan,1.8525415955790217e-05,1.8530470417102763e-05,2,2,0
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",1.0,nan,4.513679450933489e-08,1.0,nan,0.0,nan,0.0002874504380944192,0.00028749557488892853,2,2,1
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",0.998,0.5951903807615231,0.04301633177562271,0.998,0.6713426853707415,0.0,-0.0761523046092184,-0.022836104920424437,0.020180226855198272,2,2,2
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",1.0,nan,2.0792885141692103e-09,1.0,nan,0.0,nan,2.6013638495283324e-06,2.6034431380425015e-06,2,2,3
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",0.998,0.42084168336673344,0.046349572829148304,0.998,0.4228456913827655,0.0,-0.002004008016032066,-0.006862957107654638,0.039486615721493666,2,2,4
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",0.998,0.1963927855711423,0.05305474897305438,0.998,0.17234468937875752,0.0,0.024048096192384766,-0.03279882438280768,0.0202559245902467,2,2,5
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",0.998,0.002004008016032064,0.05673902861657346,0.998,0.002004008016032064,0.0,0.0,-0.01698054641416076,0.0397584822024127,2,2,6
identity,0.0001,interaction_binary,dominant,8.0,"(8,)",1.0,nan,3.0864484121371406e-09,1.0,nan,0.0,nan,5.188286420195292e-06,5.1913728686074296e-06,2,2,7
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.852,0.9328846153846153,0.33601818781805026,0.846,0.9317788461538461,0.006000000000000005,0.0011057692307692157,0.03422001656927126,0.3702382043873215,2,2,0
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.832,0.9077266307139189,0.3863308090833705,0.834,0.9090748587570622,-0.0020000000000000018,-0.0013482280431432736,0.07009056337297476,0.45642137245634523,2,2,1
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.8,0.8890884598114056,0.42163235244964403,0.79,0.8813265764320997,0.010000000000000009,0.007761883379305945,0.0786254912837484,0.5002578437333924,2,2,2
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.83,0.9248019207683074,0.3495758997212076,0.828,0.902312925170068,0.0020000000000000018,0.02248899559823936,0.21032679965835677,0.5599026993795644,2,2,3
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.86,0.9360304952271126,0.3303508432651547,0.836,0.9283906720481774,0.02400000000000002,0.00763982317893519,0.1455319560116476,0.47588279927680227,2,2,4
relu,0.0001,interaction_binary,dominant,0.0,"(100,)",0.834,0.9116695496188096,0.3786558449973716,0.826,0.9128227304760074,0.008000000000000007,-0.0011531808571977331,0.0035332137079472914,0.3821890587053189,2,2,5
