activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
relu,0.0001,linear,dominant,10.0,"(32, 16)",2.723956894940509,-1.7334785081103434,1,0.9904783868301658,4
relu,0.0001,linear,dominant,10.0,"(32, 16)",1.0211946461145112,-0.03143397647078028,1,0.9897606696437308,5
relu,0.0001,linear,dominant,10.0,"(32, 16)",4.184214416561619,-3.195430719884163,1,0.9887836966774562,6
relu,0.0001,linear,dominant,10.0,"(32, 16)",3.0802057510696397,-2.0888280679461286,1,0.9913776831235112,7
relu,0.0001,linear,dominant,10.0,"(32, 16)",1.3286008954634418,-0.33995640591337817,1,0.9886444895500637,8
relu,0.0001,linear,dominant,10.0,"(32, 16)",2.788634249745539,-1.7993649106852252,1,0.9892693390603136,9
relu,0.0001,linear,dominant,10.0,"(32, 16)",2.002021552449741,-1.01116191379628,1,0.9908596386534613,10
relu,0.0001,linear,dominant,10.0,"(32, 16)",0.9097182040604457,0.08098045700874057,1,0.9906986610691862,11
relu,0.0001,linear,dominant,10.0,"(32, 16)",3.4828001353607227,-2.4924267131470934,1,0.9903734222136295,12
relu,0.0001,linear,dominant,10.0,"(32, 16)",2.5628853988394655,-1.5727356333252174,1,0.9901497655142482,13
relu,0.0001,linear,dominant,10.0,"(32, 16)",3.043369692147808,-2.0538398285565096,1,0.9895298635912986,14
tanh,0.0001,linear,dominant,10.0,"(32, 16)",68.40811696703527,-67.41988644589365,1,0.9882305211416186,0
tanh,0.0001,linear,dominant,10.0,"(32, 16)",70.23192317418426,-69.24356038428871,1,0.9883627898955538,1
tanh,0.0001,linear,dominant,10.0,"(32, 16)",62.05418075828814,-61.063948307879855,1,0.9902324504082869,2
tanh,0.0001,linear,dominant,10.0,"(32, 16)",69.5799243324909,-68.59063752141775,1,0.9892868110731525,3
tanh,0.0001,linear,dominant,10.0,"(32, 16)",62.86384673889737,-61.87362866755334,1,0.9902180713440326,4
tanh,0.0001,linear,dominant,10.0,"(32, 16)",67.81076785202275,-66.82250197914334,1,0.9882658728794037,5
tanh,0.0001,linear,dominant,10.0,"(32, 16)",60.81829184207762,-59.82777657719563,1,0.9905152648819907,6
tanh,0.0001,linear,dominant,10.0,"(32, 16)",68.78511603669644,-67.79552896777138,1,0.9895870689250559,7
tanh,0.0001,linear,dominant,10.0,"(32, 16)",66.47844980183247,-65.48837080542842,1,0.9900789964040502,8
tanh,0.0001,linear,dominant,10.0,"(32, 16)",60.55272846221266,-59.56185538964542,1,0.9908730725672401,9
tanh,0.0001,linear,dominant,10.0,"(32, 16)",63.98624756282184,-62.997159917268846,1,0.9890876455529927,10
tanh,0.0001,linear,dominant,10.0,"(32, 16)",64.9839058277986,-63.99544457486354,1,0.9884612529350596,11
tanh,0.0001,linear,dominant,10.0,"(32, 16)",61.03108020556096,-60.04127401126276,1,0.9898061942982026,12
tanh,0.0001,linear,dominant,10.0,"(32, 16)",66.64714018406556,-65.65748411866791,1,0.9896560653976505,13
tanh,0.0001,linear,dominant,10.0,"(32, 16)",65.25604396705953,-64.26520138542755,1,0.9908425816319819,14
